2.7.1.175	MAK1_MYCTU Maltokinase	mak
3.5.1.119	DOP_MYCTU Pup deamidase/depupylase	dop
2.7.7.95		
3.3.2.8	A0A045JIR1_MYCTX Epoxide hydrolase	limA
4.2.3.B31		
4.2.3.B30		
4.2.3.B33		
2.7.8.33	A0A1K3F4Z3_MYCTX Putative undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase	wecA_1
2.3.1.252	MSL3_MYCTU Mycolipanoate synthase	msl3
2.5.1.68	ZFPP_MYCTU (2Z,6E)-farnesyl diphosphate synthase	Rv1086
3.1.7.9	TUBOL_MYCTU Diterpene synthase	Rv3378c
4.2.3.B32		
4.2.3.B35		
4.2.3.B34		
2.4.2.46	AFTA_MYCTU Galactan 5-O-arabinofuranosyltransferase	aftA
2.4.2.47	AFTC_MYCTU Alpha-(1->3)-arabinofuranosyltransferase	aftC
2.1.1.334		
2.8.2.37	STF0_MYCTU Trehalose 2-sulfotransferase	stf0
2.4.1.342	GLGM_MYCTU Alpha-maltose-1-phosphate synthase	glgM
3.7.1.17	HSAD_MYCTU 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	hsaD
3.6.3.41		
4.1.3.30	ACEA1_MYCTO Isocitrate lyase 1	icl1
3.1.3.73	RNHPH_MYCTU Bifunctional protein Rv2228c	Rv2228c
3.1.3.85	GPGP_MYCTU Glucosyl-3-phosphoglycerate phosphatase	gpgP
2.3.2.7		
3.4.21.B1		
3.1.7.2	RELA_MYCTU Bifunctional (p)ppGpp synthase/hydrolase RelA	relA
1.10.3.11		
1.16.3.2		
3.4.24.33		
6.3.1.9		
3.4.24.39		
1.4.1.14		
1.4.1.10		
3.2.1.68		
2.3.1.261		
3.4.21.B40		
1.7.1.B1		
3.1.1.73		
2.3.1.165		
2.8.2.9		
2.4.1.232		
3.6.5.6		
2.3.2.B14		
3.4.24.B20		
3.1.4.16		
1.11.1.19		
1.8.3.B2		
1.1.99.33		
4.1.2.9		
3.4.22.B66		
3.4.21.B28		
3.4.21.B57		
3.2.1.81		
3.5.1.104		
1.13.11.75		
1.10.2.2	QCRB_MYCTU Cytochrome bc1 complex cytochrome b subunit	qcrB
3.1.13.3		
3.1.27.10		
2.7.7.B17		
3.6.4.4		
1.21.4.2		
3.4.23.23		
3.4.24.B17		
2.3.3.9	MASZ_MYCTO Malate synthase G	glcB
2.4.1.12		
3.1.99.B1		
2.3.1.61	KGD_MYCTA Multifunctional 2-oxoglutarate metabolism enzyme	kgd
1.2.1.42		
3.6.4.B7		
1.1.1.71		
1.3.1.86		
6.3.4.1		
5.4.99.5	SCMU_MYCTU Secreted chorismate mutase	Rv1885c
3.4.21.B30		
1.3.1.34	Q7D8P5_MYCTO 2,4-dienoyl-coA reductase	fadH
3.2.1.99		
1.1.3.37		
1.13.11.65		
2.3.1.142		
1.1.1.43		
2.7.1.77		
4.1.1.72		
2.7.8.B13		
1.11.1.14		
1.5.3.5		
2.1.1.129		
3.1.16.1		
1.8.4.9		
2.2.1.10		
1.6.3.4		
1.14.19.5		
4.2.1.55		
1.2.2.4		
3.6.5.4		
1.14.99.24		
3.6.4.8		
3.4.23.48		
1.3.1.6		
3.1.1.58		
4.4.1.9		
1.18.1.3	A0A1K3CZ18_MYCTX Nitrite reductase large subunit	todA
1.20.4.3		
2.3.1.88		
1.12.7.2		
2.7.7.51		
4.1.1.36	COABC_MYCTU Coenzyme A biosynthesis bifunctional protein CoaBC	coaBC
2.3.1.32		
4.2.1.157		
2.7.1.86		
3.5.1.B15		
3.2.1.41		
3.4.23.B5		
2.3.2.1		
1.7.1.1		
4.99.1.9		
1.14.99.57		
1.3.1.44		
3.5.1.123		
1.1.3.4		
3.4.22.65		
3.4.21.32		
1.1.3.8		
1.5.3.2		
6.1.1.6	LYSX_MYCTU Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX	lysX
3.4.22.B69		
1.11.1.11		
2.1.1.243		
3.2.2.15		
3.6.1.25		
1.10.3.1		
2.3.1.41	PPSE_MYCTU Phthiocerol synthesis polyketide synthase type I PpsE	ppsE
3.4.24.31		
1.8.1.12		
2.4.2.B15		
1.4.1.13	GLTB_MYCTU Glutamate synthase [NADPH] large chain	gltB
3.1.30.1		
3.1.30.2		
3.6.1.10		
2.3.1.260		
3.4.21.50		
5.1.1.16		
1.13.12.7		
1.6.5.10		
1.13.12.5		
3.4.23.18		
3.4.24.68		
1.97.1.1		
2.6.1.81		
3.4.23.16		
1.3.99.3		
3.2.1.80		
2.5.1.43		
3.4.24.B4		
3.6.4.1		
3.6.4.2		
3.4.22.46		
6.3.5.6		
3.4.23.20		
2.7.7.B22		
3.6.3.6		
3.4.24.3		
2.4.1.207		
3.4.16.6		
3.4.16.4	PBP1A_MYCTU Penicillin-binding protein 1A	ponA1
3.6.3.26		
3.4.17.18		
1.2.4.1	ODP1_MYCTU Pyruvate dehydrogenase E1 component	aceE
2.7.7.B16		
4.2.2.3		
4.2.2.8		
3.4.24.30		
3.6.4.11		
2.7.13.1		
2.4.1.14		
2.4.2.B14		
3.1.4.41		
3.1.15.1		
3.1.11.4		
3.1.11.3		
1.1.1.78		
3.1.13.2		
3.4.24.83		
1.7.2.4		
2.7.1.72		
3.2.1.36		
3.4.21.85		
3.4.22.50		
3.1.27.3		
3.1.27.2		
2.4.1.214		
2.7.8.B10		
2.4.1.58		
3.6.3.23		
3.6.3.43		
2.5.1.20		
2.3.1.206		
1.8.4.7		
1.6.5.4		
2.4.2.36		
3.6.5.1		
2.3.2.12		
3.6.3.7		
6.2.1.15		
3.4.22.35		
3.2.2.22		
4.2.1.78		
3.6.3.B1		
1.2.1.51		
1.14.13.54		
4.4.1.4		
1.8.99.2		
3.1.3.31		
3.1.1.42		
3.4.21.61		
3.4.21.97		
3.4.21.90		
4.3.1.5		
1.1.98.6		
3.4.22.B28		
1.6.5.11	NUOG_MYCTU NADH-quinone oxidoreductase subunit G	nuoG
3.4.22.32		
2.3.1.82		
3.6.3.52		
3.6.3.51		
2.3.1.81		
3.2.1.117		
3.2.1.123		
3.4.24.74		
1.14.13.67		
3.6.3.47		
