2.7.8.11	PISA_MYCTU CDP-diacylglycerol--inositol 3-phosphatidyltransferase	pgsA1
3.6.4.11		
2.3.1.117	DAPD_MYCTU 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	dapD
2.3.3.14	A0A0T9K7E3_MYCTX Isopropylmalate/homocitrate/citramalate synthase	ERS075342_00978
2.7.13.1		
2.7.13.3	MPRB_MYCTU Signal transduction histidine-protein kinase/phosphatase MprB	mprB
2.7.1.39	KHSE_MYCTU Homoserine kinase	thrB
5.1.3.2	GALE_MYCTU UDP-glucose 4-epimerase	galE1
2.7.1.35	A0A1K3BML3_MYCTX Pyridoxal kinase PdxY	pdxY
3.1.4.12	SMASE_MYCTU Sphingomyelinase	spmT
3.4.21.26	A0A045H6G2_MYCTX Peptidase	ERS027656_02104
2.4.1.12		
2.4.1.14		
2.1.1.182	RSMA_MYCTU Ribosomal RNA small subunit methyltransferase A	ksgA
2.4.1.18	GLGB_MYCTU 1,4-alpha-glucan branching enzyme GlgB	glgB
2.4.2.B14		
3.1.99.B1		
3.1.3.11	CYSQ_MYCTU 3'-phosphoadenosine 5'-phosphate phosphatase	cysQ
2.3.1.180	FABH_MYCTU 3-oxoacyl-[acyl-carrier-protein] synthase 3	fabH
2.7.7.18	NADD_MYCTU Probable nicotinate-nucleotide adenylyltransferase	nadD
3.1.4.41		
4.2.99.18	END8A_MYCTU Endonuclease 8 1	nei1
1.1.1.145	3BHS_MYCTU 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase	Rv1106c
2.3.1.61	KGD_MYCTA Multifunctional 2-oxoglutarate metabolism enzyme	kgd
2.5.1.54	AROG_MYCTU Phospho-2-dehydro-3-deoxyheptonate aldolase AroG	aroG
6.3.2.5	COABC_MYCTU Coenzyme A biosynthesis bifunctional protein CoaBC	coaBC
1.2.1.42		
3.1.15.1		
2.7.11.1	PKNH_MYCTU Serine/threonine-protein kinase PknH	pknH
2.7.11.12	A0A0E8U0R4_MYCTX S-adenosyl-L-homocysteine hydrolase	ERS007663_00338
3.1.11.4		
3.1.11.2	A0A0T9L251_MYCTX Probable exodeoxyribonuclease III protein XthA	xthA
3.1.11.3		
3.1.11.1	A0A1K3ED18_MYCTX Exodeoxyribonuclease I	sbcB
3.6.4.B7		
1.1.1.71		
1.1.1.78		
1.6.99.3	V5NFU0_MYCTX Mutant NADH dehydrogenase	ndh
5.4.2.1		
2.5.1.3	THIE_MYCTU Thiamine-phosphate synthase	thiE
1.3.1.86		
2.5.1.1	A0A045JAS9_MYCTX Multifunctional geranylgeranyl pyrophosphate synthetase: dimethylallyltransferase + geranyltranstransferase + farnesyltranstransferase	idsA1
2.5.1.9	RISA_MYCTU Riboflavin synthase	ribE
6.3.4.1		
3.1.13.1	A0A1K3F8Y8_MYCTX Ribonuclease R	rnr_2
3.1.13.2		
2.7.1.4	A0A1K3C369_MYCTX Transcriptional regulator/sugar kinase	mak
3.4.24.83		
2.7.1.2	PPGK_MYCTA Polyphosphate glucokinase	ppgK
5.4.99.5	SCMU_MYCTU Secreted chorismate mutase	Rv1885c
3.4.21.B30		
4.1.1.15	I6YG46_MYCTU Glutamate decarboxylase	gadB
1.9.3.1	COX2_MYCTU Cytochrome c oxidase subunit 2	ctaC
4.1.1.17	A0A1K3G5F8_MYCTX Amino acid decarboxylase	speC_2
1.7.2.4		
2.7.1.72		
1.3.1.34	Q7D8P5_MYCTO 2,4-dienoyl-coA reductase	fadH
4.1.1.20	DCDA_MYCTU Diaminopimelate decarboxylase	lysA
6.3.5.4	ASNH_MYCTU Putative asparagine synthetase [glutamine-hydrolyzing]	asnB
3.2.1.99		
1.1.3.37		
1.13.11.65		
2.3.1.142		
3.4.21.89	LEP_MYCTU Signal peptidase I	lepB
4.1.1.3	RRAAH_MYCTU Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase	rraA
3.2.1.36		
3.4.21.85		
3.4.22.50		
3.1.27.3		
3.1.27.2		
2.4.1.214		
3.5.2.6	BLAC_MYCTU Beta-lactamase	blaC
1.1.1.43		
2.7.1.77		
4.1.1.72		
4.1.2.13	ALF_MYCTU Fructose-bisphosphate aldolase	fba
2.7.7.6	RPOB_MYCTU DNA-directed RNA polymerase subunit beta	rpoB
2.7.7.4	CYSNC_MYCTU Bifunctional enzyme CysN/CysC	cysNC
2.7.8.B13		
2.7.8.B10		
3.4.23.36	LSPA_MYCTU Lipoprotein signal peptidase	lspA
4.1.1.1		
2.4.1.58		
3.6.3.23		
1.3.3.4	PPOX_MYCTU Protoporphyrinogen oxidase	hemY
2.5.1.26	A0A045K3Z5_MYCTX Alkyldihydroxyacetonephosphate synthase	agpS
3.6.3.43		
2.5.1.20		
1.15.1.1	SODC_MYCTU Superoxide dismutase [Cu-Zn]	sodC
1.2.1.16	A0A045JTD4_MYCTX Putative succinate-semialdehyde dehydrogenase [NADP+] 2	gabD
1.11.1.14		
1.5.3.5		
2.2.1.1	TKT_MYCTU Transketolase	tkt
2.2.1.2	TAL_MYCTU Transaldolase	tal
2.3.1.206		
2.2.1.6	ILVB1_MYCTU Acetolactate synthase large subunit IlvB1	ilvB1
2.1.1.129		
2.7.7.41	CDSA_MYCTU Phosphatidate cytidylyltransferase	cdsA
3.1.16.1		
1.8.4.9		
1.8.4.7		
2.3.1.20	A85B_MYCTU Diacylglycerol acyltransferase/mycolyltransferase Ag85B	fbpB
2.2.1.10		
1.1.1.25	A0A1K3RIC7_MYCTX Shikimate dehydrogenase (NADP(+))	aroE_2
3.1.2.20		
1.6.5.4		
1.6.5.3	A0A045IAH8_MYCTX NADH dehydrogenase I subunit J	nuoJ
1.6.5.2	LPDA_MYCTU NAD(P)H dehydrogenase (quinone)	lpdA
1.6.3.4		
2.4.2.36		
6.1.1.19	SYR_MYCTU Arginine--tRNA ligase	argS
3.1.21.1	A0A1K3AY71_MYCTX Endonuclease-1	endA
3.6.5.1		
2.3.2.12		
3.6.3.7		
3.6.3.4	A0A0T7LWE5_MYCTX Metal cation transporter P-type ATPase, CtpV	copA_2
6.2.1.15		
1.5.1.2	P5CR_MYCTU Pyrroline-5-carboxylate reductase	proC
3.3.2.1	A0A0T9K7B0_MYCTX Isochorismatase hydrolase	ERS075342_00981
2.7.1.148	ISPE_MYCTU 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	ispE
1.14.19.5		
3.8.1.3	A0A0T9KJK1_MYCTX Epoxide hydrolase	dehH1_1
4.2.1.55		
3.6.1.31	HIS2_MYCTU Phosphoribosyl-ATP pyrophosphatase	hisE
4.2.1.46	RMLB_MYCTU dTDP-glucose 4,6-dehydratase	rmlB
3.4.22.35		
5.3.1.8	A0A045JT41_MYCTX Mannose-6-phosphate isomerase	manA
3.5.1.4	AMI3_MYCTU Putative amidase AmiC	amiC
2.6.1.9	HIS8_MYCTU Histidinol-phosphate aminotransferase	hisC
3.2.2.22		
1.2.2.4		
4.2.1.78		
3.5.1.18	DAPE_MYCTU Putative succinyl-diaminopimelate desuccinylase DapE	dapE
3.6.5.4		
3.6.3.B1		
3.4.11.1	LPQL_MYCTU Probable lipoprotein aminopeptidase LpqL	lpqL
3.5.1.11		
1.2.1.51		
3.1.3.5	A0A1K3CWY5_MYCTX 5'-nucleotidase SurE	surE
3.1.3.7	CYSQ_MYCTU 3'-phosphoadenosine 5'-phosphate phosphatase	cysQ
1.14.99.24		
3.1.3.1	A0A0T9L699_MYCTX Integral membrane cytochrome D ubiquinol oxidase (Subunit II) CydB	cydB_1
3.1.3.2	SAPM_MYCTU Phosphatidylinositol-3-phosphatase	sapM
3.1.3.3	SERB2_MYCTU Phosphoserine phosphatase SerB2	serB2
3.4.25.1	PSA_MYCTU Proteasome subunit alpha	prcA
2.7.7.59	GLND_MYCTU Bifunctional uridylyltransferase/uridylyl-removing enzyme	glnD
1.14.13.54		
3.6.4.8		
3.4.23.48		
3.1.1.2	A0A045I2W5_MYCTX Alpha/beta fold family hydrolase	cpo_1
3.1.1.3	LIPY_MYCTU Triacylglycerol lipase	lipY
4.4.1.1	A0A1K3B8I4_MYCTX Cystathionine beta-lyase/cystathionine gamma-synthase	metC_1
4.4.1.4		
3.2.1.14	A0A0T9JXR2_MYCTX Chitinase D	chiD
3.2.1.17	LYS25_MYCTU Putative peptidoglycan hydrolase Rv2525c	Rv2525c
1.8.99.2		
3.4.21.4	A0A0T9M740_MYCTX Trypsin	ERS075342_05439
3.5.1.88	DEF_MYCTU Peptide deformylase	def
1.3.1.6		
4.1.2.25	FOLB_MYCTU Dihydroneopterin aldolase	folB
3.1.1.58		
3.4.13.9	A0A0E8TXI3_MYCTX Dipeptidase pepE	pepQ_1
3.1.3.31		
4.4.1.9		
6.2.1.3	FAC13_MYCTU Long-chain-fatty-acid--CoA ligase FadD13	fadD13
3.4.21.62	A0A0E8BFL8_MYCTX Membrane-anchored mycosin mycP4	apr
3.1.1.42		
1.18.1.3	A0A1K3CZ18_MYCTX Nitrite reductase large subunit	todA
1.18.1.2	FPRA_MYCTU NADPH-ferredoxin reductase FprA	fprA
3.4.21.61		
3.4.21.97		
3.4.21.90		
4.3.1.17	SDHL_MYCTU L-serine dehydratase	sdaA
4.3.1.5		
1.1.98.6		
3.4.22.B28		
1.6.5.11	NUOG_MYCTU NADH-quinone oxidoreductase subunit G	nuoG
1.2.4.4	BKDB_MYCTU 3-methyl-2-oxobutanoate dehydrogenase subunit beta	bkdB
1.2.4.2	KGD_MYCTA Multifunctional 2-oxoglutarate metabolism enzyme	kgd
4.2.3.5	AROC_MYCTU Chorismate synthase	aroC
3.2.1.1	TRES_MYCTU Trehalose synthase/amylase TreS	treS
6.3.2.3	A0A1K3DGM2_MYCTX Glutathione synthetase	gshB
4.2.1.3	ACNA_MYCTU Aconitate hydratase A	acn
4.2.1.1	MTCA1_MYCTU Beta-carbonic anhydrase 1	mtcA1
6.3.2.9	MURD_MYCTA UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD
1.20.4.3		
4.99.1.1	HEMH_MYCTU Ferrochelatase	hemH
3.4.22.32		
2.4.1.212	A0A0T9QFW0_MYCTX PGL/p-HBAD biosynthesis glycosyl transferase	hyaD_3
3.2.2.21	ALKA_MYCTU Probable bifunctional transcriptional activator/DNA repair enzyme AlkA	alkA
2.3.1.88		
2.3.1.82		
3.6.3.52		
3.6.3.51		
2.3.1.81		
3.2.1.117		
1.12.7.2		
3.2.1.123		
3.2.1.52	A0A1K3RJP8_MYCTX Beta-N-acetylhexosaminidase	ybbD
3.4.24.74		
2.7.7.51		
4.1.1.36	COABC_MYCTU Coenzyme A biosynthesis bifunctional protein CoaBC	coaBC
1.14.13.67		
2.3.1.32		
4.2.1.157		
1.1.1.14	A0A045ISW5_MYCTX Alcohol dehydrogenase	adh_2
3.1.26.4	RNHPH_MYCTU Bifunctional protein Rv2228c	Rv2228c
2.7.1.86		
1.1.1.1	ADHD_MYCTU Putative alcohol dehydrogenase D	adhD
1.1.1.2	ADHC_MYCTU NADP-dependent alcohol dehydrogenase C	adhC
3.6.3.47		
4.3.1.19	ILVA_MYCTU L-threonine dehydratase biosynthetic IlvA	ilvA
3.2.1.21	A0A0T9KSD8_MYCTX Beta-glucosidase A	bglA_3
3.2.1.23	A0A0T9Q7T7_MYCTX Beta-galactosidase	lacZ
6.1.1.21	SYH_MYCTU Histidine--tRNA ligase	hisS
3.2.1.28	TREH_MYCTU Trehalase	Rv2402
5.99.1.2	TOP1_MYCTU DNA topoisomerase 1	topA
3.5.1.B15		
3.2.1.41		
3.4.23.B5		
3.6.5.2		
2.3.2.2	P71828_MYCTO Gamma-glutamyltransferase	ggt-1
