2.7.1.175	MAK1_MYCTU Maltokinase	mak
2.7.7.98		
2.4.1.250	MSHA_MYCTU D-inositol 3-phosphate glycosyltransferase	mshA
2.4.1.252		
1.3.99.38	MENJ_MYCTU Menaquinone reductase	menJ
5.3.1.16	HIS4_MYCTU Phosphoribosyl isomerase A	priA
3.5.1.119	DOP_MYCTU Pup deamidase/depupylase	dop
2.7.7.95		
3.3.2.8	A0A045JIR1_MYCTX Epoxide hydrolase	limA
4.2.3.B31		
4.2.3.B30		
4.2.3.B33		
2.7.8.33	A0A1K3F4Z3_MYCTX Putative undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase	wecA_1
2.3.1.252	MSL3_MYCTU Mycolipanoate synthase	msl3
2.5.1.68	ZFPP_MYCTU (2Z,6E)-farnesyl diphosphate synthase	Rv1086
3.1.7.9	TUBOL_MYCTU Diterpene synthase	Rv3378c
4.2.3.B32		
4.2.3.B35		
4.2.3.B34		
2.4.2.46	AFTA_MYCTU Galactan 5-O-arabinofuranosyltransferase	aftA
2.4.2.47	AFTC_MYCTU Alpha-(1->3)-arabinofuranosyltransferase	aftC
2.1.1.334		
2.8.2.37	STF0_MYCTU Trehalose 2-sulfotransferase	stf0
4.2.3.4	AROB_MYCTU 3-dehydroquinate synthase	aroB
2.4.1.342	GLGM_MYCTU Alpha-maltose-1-phosphate synthase	glgM
3.7.1.17	HSAD_MYCTU 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	hsaD
3.6.3.41		
4.1.3.30	ACEA1_MYCTO Isocitrate lyase 1	icl1
3.1.3.73	RNHPH_MYCTU Bifunctional protein Rv2228c	Rv2228c
3.1.3.85	GPGP_MYCTU Glucosyl-3-phosphoglycerate phosphatase	gpgP
2.3.2.7		
3.1.22.4	RUVC_MYCTU Crossover junction endodeoxyribonuclease RuvC	ruvC
1.1.3.4		
3.4.22.65		
3.4.21.32		
2.7.7.42	GLNE_MYCTU Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme	glnE
1.1.3.8		
1.5.3.2		
6.1.1.6	LYSX_MYCTU Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX	lysX
3.4.22.B69		
3.4.21.107	A0A0E8WF73_MYCTX Serine protease	htrA
3.4.21.105	A0A045JW70_MYCTX Rhomboid family protein	gluP
4.6.1.12	ISPF_MYCTU 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ispF
2.7.1.11	PFKB_MYCTU Putative ATP-dependent 6-phosphofructokinase isozyme 2	pfkB
3.4.21.B1		
2.7.1.15	P71913_MYCTU Ribokinase	rbsK
1.3.1.10		
1.3.1.12	TYRA_MYCTU Prephenate dehydrogenase	tyrA
3.1.7.2	RELA_MYCTU Bifunctional (p)ppGpp synthase/hydrolase RelA	relA
1.11.1.11		
2.1.1.79	MMAA2_MYCTU Cyclopropane mycolic acid synthase MmaA2	mmaA2
1.1.5.3	GLPD1_MYCTU Glycerol-3-phosphate dehydrogenase 1	glpD1
5.99.1.3	GYRA_MYCTU DNA gyrase subunit A	gyrA
2.1.1.72	A0A0T9Q917_MYCTX Site-specific DNA-methyltransferase (adenine-specific)	dpnM
3.1.1.32	A0A1K3DUS5_MYCTX Extracellular phospholipase A1	phlA
2.1.1.243		
3.2.2.15		
1.10.3.11		
2.8.1.12	MOAE1_MYCTU Molybdopterin synthase catalytic subunit 1	moaE1
1.10.3.12		
2.7.1.199		
1.17.4.1	RIR2B_MYCTU Ribonucleoside-diphosphate reductase subunit beta nrdF2	nrdF2
6.3.4.21	PNCB2_MYCTU Nicotinate phosphoribosyltransferase pncB2	pncB2
3.6.1.25		
1.16.3.2		
1.16.3.1	BFRB_MYCTU Ferritin BfrB	bfrB
3.4.22.70		
2.8.1.8	LIPA_MYCTU Lipoyl synthase	lipA
1.10.3.1		
2.8.1.6	BIOB_MYCTU Biotin synthase	bioB
2.8.1.7	ISCSL_MYCTU IscS-like cysteine desulfurase	iscS
2.3.1.47	BIOF1_MYCTU 8-amino-7-oxononanoate synthase 1	bioF1
2.7.1.23	NADK_MYCTU NAD kinase	ppnK
2.3.1.41	PPSE_MYCTU Phthiocerol synthesis polyketide synthase type I PpsE	ppsE
5.1.1.1	ALR_MYCTU Alanine racemase	alr
5.1.1.3	MURI_MYCTU Glutamate racemase	murI
2.7.1.25	CYSNC_MYCTU Bifunctional enzyme CysN/CysC	cysNC
3.4.24.33		
3.4.24.31		
1.8.1.12		
2.7.8.7	ACPS_MYCTU Holo-[acyl-carrier-protein] synthase	acpS
6.3.1.9		
3.4.24.39		
4.2.1.51	PHEA_MYCTU Prephenate dehydratase	pheA
1.8.1.4	DLDH_MYCTU Dihydrolipoyl dehydrogenase	lpdC
1.8.1.7	A0A1K3JSX6_MYCTX Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase component	gor
2.4.2.B15		
4.2.1.22	Y1077_MYCTU Putative cystathionine beta-synthase Rv1077	cbs
2.4.1.5		
1.8.1.8	A0A1K3GUB5_MYCTX Thiol:disulfide interchange protein DsbD	dsbD
2.4.1.1	PHSG_MYCTU Glycogen phosphorylase	glgP
1.4.3.16	NADB_MYCTU L-aspartate oxidase	nadB
1.8.3.1	Q7B1B9_MYCTX Putative oxidoreductase	RvD2-ORF2
1.4.1.14		
1.4.1.10		
1.4.1.13	GLTB_MYCTU Glutamate synthase [NADPH] large chain	gltB
3.1.30.1		
3.6.3.25	CYSA_MYCTU Sulfate/thiosulfate import ATP-binding protein CysA	cysA
3.1.30.2		
3.4.21.19		
3.6.1.10		
6.1.1.16	SYC_MYCTU Cysteine--tRNA ligase	cysS
3.2.1.68		
6.3.1.2	GLN1B_MYCTU Glutamine synthetase	glnA1
6.5.1.1	LIGD_MYCTU Multifunctional non-homologous end joining DNA repair protein LigD	ligD
3.4.21.53	A0A051TYQ1_9MYCO Lon protease	lon
2.7.4.25	KCY_MYCTU Cytidylate kinase	cmk
6.3.4.15	A0A1K3S7Y1_MYCTX Bifunctional ligase/repressor BirA	birA_2
2.3.1.261		
2.3.1.260		
2.5.1.75	MIAA_MYCTU tRNA dimethylallyltransferase	miaA
2.5.1.72	NADA_MYCTU Quinolinate synthase A	nadA
3.4.21.50		
2.1.1.45	TYSY_MYCTU Thymidylate synthase ThyA	thyA
3.1.3.21	G3PP_MYCTU D,L-glycerol 3-phosphate phosphatase	Rv1692
5.3.1.6	RPIB_MYCTU Ribose-5-phosphate isomerase B	rpiB
2.6.1.1	AAT_MYCTU Probable aspartate aminotransferase	aspC
2.6.1.2	R4MCY9_MYCTX Aminotransferase AlaT	J113_02420
5.1.1.16		
1.13.12.7		
1.2.1.88	L7N4Z6_MYCTO Delta-1-pyrroline-5-carboxylate dehydrogenase	pruA
3.4.21.B40		
1.7.1.B1		
3.1.1.73		
2.1.1.37	A0A0T9PD36_MYCTX Cytosine-specific methyltransferase	haeIIIM
1.6.5.10		
6.1.1.12	A0A1K3AYU2_MYCTX Aspartate--tRNA ligase	aspS_1
4.3.2.2	P71832_MYCTO Adenylosuccinate lyase	purB
2.3.1.165		
6.3.5.2	GUAA_MYCTU GMP synthase [glutamine-hydrolyzing]	guaA
5.3.1.1	TPIS_MYCTU Triosephosphate isomerase	tpiA
2.7.7.27	GLGC_MYCTU Glucose-1-phosphate adenylyltransferase	glgC
2.8.2.9		
2.7.1.20	ADOK_MYCTA Adenosine kinase	adoK
2.7.1.21	A0A1K3BLC3_MYCTX Thymidine kinase	tdk
2.7.1.24	COAE_MYCTU Dephospho-CoA kinase	coaE
2.4.1.232		
3.1.26.5	RNPA_MYCTU Ribonuclease P protein component	rnpA
3.1.26.12	A0A0T9QLX6_MYCTX Ribonuclease E	rne_2
3.1.2.12	A0A1K3D1E8_MYCTX S-formylglutathione hydrolase	frmB
2.7.4.9	KTHY_MYCTU Thymidylate kinase	tmk
1.13.12.5		
4.3.2.1	ARLY_MYCTU Argininosuccinate lyase	argH
2.7.4.6	NDK_MYCTU Nucleoside diphosphate kinase	ndkA
3.6.5.6		
5.1.1.7	DAPF_MYCTU Diaminopimelate epimerase	dapF
2.7.4.1	PPK1_MYCTU Polyphosphate kinase	ppk
2.7.4.3	KAD_MYCTU Adenylate kinase	adk
1.4.1.1	DHA_MYCTU Alanine dehydrogenase	ald
1.4.1.2	DHE2_MYCTU NAD-specific glutamate dehydrogenase	gdh
2.7.6.5	RELA_MYCTU Bifunctional (p)ppGpp synthase/hydrolase RelA	relA
2.7.6.1	KPRS_MYCTU Ribose-phosphate pyrophosphokinase	prs
3.1.4.17	A0A0T9C6T7_MYCTX Class III cyclic nucleotide phosphodiesterase (CNMP PDE)	cpdA
2.6.1.13	A0A0E8UB71_MYCTX Ornithine aminotransferase rocD2	rocD2_2
4.1.1.32	PCKG_MYCTU Phosphoenolpyruvate carboxykinase [GTP]	pckG
3.4.23.18		
1.1.1.271	R4M5E4_MYCTX GDP-L-fucose synthase	fcl
1.2.1.8	A0A0T9E7D3_MYCTX Aldehyde dehydrogenase NAD-dependent	aldA
3.1.8.1	A0A045JWN9_MYCTX Parathion hydrolase	opd
3.5.4.4	ADD_MYCTU Adenosine deaminase	add
1.2.1.3	ALDH_MYCTU Probable aldehyde dehydrogenase	Rv0458
1.2.1.2	A0A045K6M9_MYCTX Formate dehydrogenase	fdhF
1.2.1.38	ARGC_MYCTU N-acetyl-gamma-glutamyl-phosphate reductase	argC
2.5.1.47	CYSK_MYCTU O-acetylserine sulfhydrylase	cysK1
1.4.3.5	PDXH_MYCTU Pyridoxine 5'-phosphate oxidase	pdxH
1.4.3.4	A0A0T9LXB8_MYCTX Flavin-containing monoamine oxidase AofH_1	aofH_1
4.2.1.10	AROQ_MYCTU 3-dehydroquinate dehydratase	aroQ
2.5.1.48	METB_MYCTU Cystathionine gamma-synthase	metB
2.3.2.B14		
3.4.24.68		
1.14.14.18	MHUD_MYCTU Heme-degrading monooxygenase HmoB	mhuD
3.4.24.B20		
1.97.1.1		
3.1.4.16		
5.4.2.2	P95090_MYCTO Phosphoglucomutase	pgmA
1.11.1.19		
1.8.3.B2		
2.4.1.129	PBP1A_MYCTU Penicillin-binding protein 1A	ponA1
2.6.1.81		
1.14.13.70	CP51_MYCTU Lanosterol 14-alpha demethylase	cyp51
3.5.1.5	URE1_MYCTU Urease subunit alpha	ureC
2.7.7.65	A0A0T9K892_MYCTX PAS/PAC sensor-containing diguanylate cyclase	adrA
2.7.7.60	ISPD_MYCTU 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	ispD
1.1.99.33		
2.7.2.4	AK_MYCTU Aspartokinase	ask
3.1.3.64	SAPM_MYCTU Phosphatidylinositol-3-phosphatase	sapM
3.4.23.16		
1.3.1.98	MURB_MYCTU UDP-N-acetylenolpyruvoylglucosamine reductase	murB
4.1.2.9		
2.4.2.10	PYRE_MYCTU Orotate phosphoribosyltransferase	pyrE
1.3.8.1	A0A045IMH9_MYCTX Acyl-CoA dehydrogenase	fadE13
1.13.11.11	A0A0T9MWN1_MYCTX Tryptophan 2,3-dioxygenase	kynA
2.4.2.18	TRPD_MYCTU Anthranilate phosphoribosyltransferase	trpD
2.6.1.62	BIOA_MYCTU Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	bioA
3.4.22.B66		
1.1.1.95	SERA_MYCTU D-3-phosphoglycerate dehydrogenase	serA
1.3.99.3		
4.1.1.48	TRPC_MYCTU Indole-3-glycerol phosphate synthase	trpC
3.4.21.B28		
6.3.2.17	FOLC_MYCTU Dihydrofolate synthase/folylpolyglutamate synthase	folC
2.1.3.3	OTC_MYCTU Ornithine carbamoyltransferase	argF
5.1.99.4	A0A045IZ15_MYCTX Alpha-methylacyl-CoA racemase	frc_2
3.4.21.B57		
3.1.1.23	MGLL_MYCTU Monoacylglycerol lipase	Rv0183
4.4.1.11	A0A1K3CQM7_MYCTX Cystathionine gamma-synthase	mdeA
3.1.1.29	PTH_MYCTU Peptidyl-tRNA hydrolase	pth
3.5.1.1	ASPG_MYCTU Probable L-asparaginase	ansA
3.2.1.80		
3.2.1.81		
3.5.1.104		
4.2.1.19	A0A1K3GD18_MYCTX Histidine biosynthesis bifunctional protein HisB	hisB_1
1.13.11.75		
1.10.2.2	QCRB_MYCTU Cytochrome bc1 complex cytochrome b subunit	qcrB
2.6.1.52	SERC_MYCTU Phosphoserine aminotransferase	serC
3.5.3.18	DDAH_MYCTU N(G),N(G)-dimethylarginine dimethylaminohydrolase	Rv2323c
3.1.13.3		
3.1.4.53	CPDA_MYCTU 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	cpdA
6.4.1.3	PCC5_MYCTU Probable propionyl-CoA carboxylase beta chain 5	accD5
3.1.27.10		
6.3.1.5	A0A0U0RRS4_MYCTX NH(3)-dependent NAD(+) synthetase	nadE
2.5.1.43		
2.7.7.B17		
4.2.1.11	ENO_MYCTU Enolase	eno
3.4.24.B4		
3.1.31.1		
3.6.4.1		
3.6.4.2		
6.1.1.4	SYL_MYCTU Leucine--tRNA ligase	leuS
3.6.4.4		
3.6.4.6	A0A0T9RXD2_MYCTX Mername-AA223 peptidase	ftsH_2
6.3.2.13	MURE_MYCTU UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	murE
3.4.22.46		
3.6.1.13	A0A0T9MF26_MYCTX NUDIX hydrolase	nudF_3
2.5.1.49	A0A0E8P1J8_MYCTX O-acetylhomoserine sulfhydrylase	metC
2.1.1.220	TRMI_MYCTU tRNA (adenine(58)-N(1))-methyltransferase TrmI	trmI
1.8.4.12	P71971_MYCTO Peptide-methionine (R)-S-oxide reductase	MT2748
6.1.1.1	SYY_MYCTU Tyrosine--tRNA ligase	tyrS
1.8.4.11	MSRA_MYCTU Peptide methionine sulfoxide reductase MsrA	msrA
1.21.4.2		
6.3.3.3	BIOD_MYCTU ATP-dependent dethiobiotin synthetase BioD	bioD
3.4.24.29		
6.3.5.1	NADE_MYCTU Glutamine-dependent NAD(+) synthetase	nadE
2.7.7.23	GLMU_MYCTU Bifunctional protein GlmU	glmU
2.8.1.1	THTR_MYCTU Putative thiosulfate sulfurtransferase	cysA1
1.14.14.47		
6.3.5.6		
3.4.23.20		
3.4.23.23		
2.7.7.B22		
6.2.1.1	ACSA_MYCTU Acetyl-coenzyme A synthetase	acsA
2.4.1.25	MALQ_MYCTU 4-alpha-glucanotransferase	malQ
3.6.3.6		
2.5.1.19	AROA_MYCTU 3-phosphoshikimate 1-carboxyvinyltransferase	aroA
2.5.1.18	A0A1K3GDG8_MYCTX Glutathione S-transferase GstB	gstB_3
3.4.24.3		
2.5.1.10	EFPP_MYCTU (2E,6E)-farnesyl diphosphate synthase	Rv3398c
2.5.1.15	DHPS1_MYCTU Dihydropteroate synthase	folP1
2.4.1.207		
3.4.16.6		
3.6.3.14	ATPA_MYCTU ATP synthase subunit alpha	atpA
5.4.2.10	GLMM_MYCTU Phosphoglucosamine mutase	glmM
5.4.2.11	GPMA_MYCTU 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	gpmA
3.4.24.B17		
3.4.16.4	PBP1A_MYCTU Penicillin-binding protein 1A	ponA1
4.2.1.24	HEM2_MYCTU Delta-aminolevulinic acid dehydratase	hemB
2.7.4.14	A0A0U0RX11_MYCTX Cytidylate kinase	cmk
3.6.3.8	CTPE_MYCTU Calcium-transporting ATPase CtpE	ctpE
2.7.7.13	Q7D5T3_MYCTO Mannose-1-phosphate guanyltransferase	mpg1
1.11.1.6	A0A051U8P1_9MYCO Catalase	K875_01580
3.4.11.2	Q7D736_MYCTO Aminopeptidase N	pepN
1.11.1.5	A0A0U0S128_MYCTX Cytochrome c551 peroxidase	ccp
3.6.3.26		
3.4.17.18		
3.1.3.16	PSTP_MYCTU PP2C-family Ser/Thr phosphatase	pstP
1.2.4.1	ODP1_MYCTU Pyruvate dehydrogenase E1 component	aceE
1.1.1.35	A0A1K3EIN6_MYCTX 3-hydroxyacyl-CoA dehydrogenase	fadJ
1.1.1.37	MDH_MYCTU Malate dehydrogenase	mdh
2.7.7.B16		
3.6.3.20	A0A0T9K0S7_MYCTX Sugar-transport ATP-binding protein ABC transporter sugC	sugC_1
2.3.1.9	FADA4_MYCTU Probable acetyl-CoA acetyltransferase	fadA4
2.3.1.8	PTA_MYCTU Phosphate acetyltransferase	pta
4.2.2.3		
2.4.2.28	MTAP_MYCTU S-methyl-5'-thioadenosine phosphorylase	mtnP
3.3.1.1	SAHH_MYCTU Adenosylhomocysteinase	ahcY
2.3.1.1	ARGA_MYCTU Amino-acid acetyltransferase	argA
4.2.2.8		
5.4.2.8	A0A0E7TZP6_MYCTX Phosphomannomutase	pmmA
2.3.1.5	NAT_MYCTU Arylamine N-acetyltransferase	nat
2.3.3.9	MASZ_MYCTO Malate synthase G	glcB
3.4.24.30		
1.1.1.49	G6PD1_MYCTU Glucose-6-phosphate 1-dehydrogenase 1	zwf1
2.3.3.1	A0A0T9BT17_MYCTX Citrate synthase	gltA1
2.7.8.11	PISA_MYCTU CDP-diacylglycerol--inositol 3-phosphatidyltransferase	pgsA1
3.6.4.11		
2.3.1.117	DAPD_MYCTU 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	dapD
2.3.3.14	A0A0T9K7E3_MYCTX Isopropylmalate/homocitrate/citramalate synthase	ERS075342_00978
2.3.3.13	LEU1_MYCTU 2-isopropylmalate synthase	leuA
2.7.13.1		
2.7.13.3	MPRB_MYCTU Signal transduction histidine-protein kinase/phosphatase MprB	mprB
2.7.1.39	KHSE_MYCTU Homoserine kinase	thrB
5.1.3.2	GALE_MYCTU UDP-glucose 4-epimerase	galE1
2.7.1.33	COAX_MYCTU Type III pantothenate kinase	coaX
2.7.1.30	GLPK_MYCTU Glycerol kinase	glpK
2.7.1.35	A0A1K3BML3_MYCTX Pyridoxal kinase PdxY	pdxY
3.1.4.12	SMASE_MYCTU Sphingomyelinase	spmT
3.4.21.26	A0A045H6G2_MYCTX Peptidase	ERS027656_02104
2.4.1.11	GLGSY_MYCTU Glycogen synthase	Rv3032
2.4.1.12		
2.4.1.14		
2.4.1.15	OTSA_MYCTU Trehalose-6-phosphate synthase	otsA
2.1.1.182	RSMA_MYCTU Ribosomal RNA small subunit methyltransferase A	ksgA
2.4.1.18	GLGB_MYCTU 1,4-alpha-glucan branching enzyme GlgB	glgB
4.3.3.7	DAPA_MYCTU 4-hydroxy-tetrahydrodipicolinate synthase	dapA
2.4.2.B14		
2.7.2.3	PGK_MYCTU Phosphoglycerate kinase	pgk
3.1.99.B1		
3.1.3.11	CYSQ_MYCTU 3'-phosphoadenosine 5'-phosphate phosphatase	cysQ
6.2.1.26	MENE_MYCTU Probable 2-succinylbenzoate--CoA ligase	menE
5.1.3.1	RPE_MYCTU Ribulose-phosphate 3-epimerase	rpe
2.7.1.71	AROK_MYCTU Shikimate kinase	aroK
2.3.1.180	FABH_MYCTU 3-oxoacyl-[acyl-carrier-protein] synthase 3	fabH
2.3.1.181	LIPB_MYCTU Octanoyltransferase	lipB
2.7.7.18	NADD_MYCTU Probable nicotinate-nucleotide adenylyltransferase	nadD
3.1.4.41		
4.2.99.18	END8A_MYCTU Endonuclease 8 1	nei1
1.1.1.145	3BHS_MYCTU 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase	Rv1106c
3.4.11.18	MAP11_MYCTU Methionine aminopeptidase 1	map-1
2.3.1.61	KGD_MYCTA Multifunctional 2-oxoglutarate metabolism enzyme	kgd
2.5.1.54	AROG_MYCTU Phospho-2-dehydro-3-deoxyheptonate aldolase AroG	aroG
6.3.2.5	COABC_MYCTU Coenzyme A biosynthesis bifunctional protein CoaBC	coaBC
1.2.1.42		
2.7.7.12	A0A1K3G8H9_MYCTX Galactose-1-phosphate uridylyltransferase	galT_1
2.4.2.9	UPP_MYCTU Uracil phosphoribosyltransferase	upp
2.4.2.8	HPRT_MYCTU Hypoxanthine-guanine phosphoribosyltransferase	hpt
3.1.15.1		
3.6.1.22	NUDC_MYCTU NADH pyrophosphatase	nudC
3.6.1.23	DUT_MYCTU Deoxyuridine 5'-triphosphate nucleotidohydrolase	dut
2.4.2.1	PUNA_MYCTU Purine nucleoside phosphorylase	punA
2.4.2.4	TYPH_MYCTU Thymidine phosphorylase	deoA
2.7.11.1	PKNH_MYCTU Serine/threonine-protein kinase PknH	pknH
3.5.4.16	GCH1_MYCTU GTP cyclohydrolase 1	folE
6.5.1.2	DNLJ_MYCTU DNA ligase A	ligA
2.7.11.12	A0A0E8U0R4_MYCTX S-adenosyl-L-homocysteine hydrolase	ERS007663_00338
2.3.1.12	ODP2_MYCTU Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	dlaT
3.1.11.4		
3.1.11.2	A0A0T9L251_MYCTX Probable exodeoxyribonuclease III protein XthA	xthA
3.1.11.3		
4.2.1.33	LEUD_MYCTU 3-isopropylmalate dehydratase small subunit	leuD
3.1.11.1	A0A1K3ED18_MYCTX Exodeoxyribonuclease I	sbcB
3.6.4.B7		
1.1.1.71		
6.3.4.5	ASSY_MYCTU Argininosuccinate synthase	argG
1.1.1.78		
1.6.99.3	V5NFU0_MYCTX Mutant NADH dehydrogenase	ndh
2.5.1.7	MURA_MYCTU UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA
2.5.1.6	METK_MYCTU S-adenosylmethionine synthase	metK
5.4.2.1		
2.5.1.3	THIE_MYCTU Thiamine-phosphate synthase	thiE
1.3.1.86		
2.5.1.1	A0A045JAS9_MYCTX Multifunctional geranylgeranyl pyrophosphate synthetase: dimethylallyltransferase + geranyltranstransferase + farnesyltranstransferase	idsA1
2.5.1.9	RISA_MYCTU Riboflavin synthase	ribE
6.3.4.1		
3.5.4.25	RIBBA_MYCTU Riboflavin biosynthesis protein RibBA	ribBA
1.17.7.4	ISPH2_MYCTU 4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2	ispH2
1.1.1.85	LEU3_MYCTU 3-isopropylmalate dehydrogenase	leuB
3.1.13.1	A0A1K3F8Y8_MYCTX Ribonuclease R	rnr_2
3.1.13.2		
1.1.1.86	ILVC_MYCTU Ketol-acid reductoisomerase (NADP(+))	ilvC
2.7.1.4	A0A1K3C369_MYCTX Transcriptional regulator/sugar kinase	mak
2.7.1.6	GAL1_MYCTU Galactokinase	galK
3.4.24.83		
2.7.1.2	PPGK_MYCTA Polyphosphate glucokinase	ppgK
5.4.99.5	SCMU_MYCTU Secreted chorismate mutase	Rv1885c
5.4.99.2	MUTB_MYCTU Probable methylmalonyl-CoA mutase large subunit	mutB
3.4.21.B30		
2.7.1.107	DAGK_MYCTO Diacylglycerol kinase	dagK
4.1.1.15	I6YG46_MYCTU Glutamate decarboxylase	gadB
1.9.3.1	COX2_MYCTU Cytochrome c oxidase subunit 2	ctaC
4.1.1.17	A0A1K3G5F8_MYCTX Amino acid decarboxylase	speC_2
1.7.2.4		
5.4.99.25	TRUB_MYCTU tRNA pseudouridine synthase B	truB
2.7.1.72		
1.3.1.34	Q7D8P5_MYCTO 2,4-dienoyl-coA reductase	fadH
4.1.1.20	DCDA_MYCTU Diaminopimelate decarboxylase	lysA
4.1.1.22	A0A1K3CKZ1_MYCTX Histidine decarboxylase	hdc
6.3.5.4	ASNH_MYCTU Putative asparagine synthetase [glutamine-hydrolyzing]	asnB
3.2.1.96	A0A0T9FY85_MYCTX Putative endo-beta-N-acetylglucosaminidase	lytB
3.2.1.99		
1.1.3.37		
2.1.1.13	METH_MYCTU Methionine synthase	metH
1.13.11.65		
2.3.1.142		
2.6.1.42	ILVE_MYCTU Branched-chain-amino-acid aminotransferase	ilvE
4.1.99.12	RIBBA_MYCTU Riboflavin biosynthesis protein RibBA	ribBA
3.4.21.89	LEP_MYCTU Signal peptidase I	lepB
3.4.21.88	LEXA_MYCTU LexA repressor	lexA
4.1.1.3	RRAAH_MYCTU Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase	rraA
3.2.1.36		
3.4.21.85		
3.4.22.50		
3.1.27.3		
3.1.27.2		
4.1.3.3	A0A1K3DEM2_MYCTX Dihydrodipicolinate synthase DapA_1	dapA_2
2.4.1.214		
3.1.3.25	SUHB_MYCTU Inositol-1-monophosphatase SuhB	suhB
3.5.2.6	BLAC_MYCTU Beta-lactamase	blaC
1.1.1.43		
2.7.1.77		
4.2.1.47	P71790_MYCTU GDP-mannose 4,6-dehydratase	gmdA
