2.7.1.175	MAK1_MYCTU Maltokinase	mak
1.20.4.3		
4.99.1.9		
1.14.99.57		
3.6.1.27	UPPP_MYCTU Undecaprenyl-diphosphatase	uppP
5.1.1.5		
2.1.1.193	RSME_MYCTU Ribosomal RNA small subunit methyltransferase E	rsmE
6.2.1.49		
2.6.1.17	DAPC_MYCTU Probable N-succinyldiaminopimelate aminotransferase DapC	dapC
2.4.2.17	HIS1_MYCTU ATP phosphoribosyltransferase	hisG
1.1.1.91	A0A0T9L9F0_MYCTX Aldo/keto reductase	iolS_2
1.2.5.3		
1.1.1.133	RMLD_MYCTU dTDP-4-dehydrorhamnose reductase	rmlD
1.8.4.10		
4.1.1.12		
5.4.4.1		
2.7.7.89	GLNE_MYCTU Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme	glnE
5.4.2.9		
3.11.1.1	A0A0T9LT93_MYCTX HAD family hydrolase	phnX
5.1.3.13	RMLC_MYCTU dTDP-4-dehydrorhamnose 3,5-epimerase	rmlC
1.1.1.24		
2.4.1.252		
4.1.3.30	ACEA1_MYCTO Isocitrate lyase 1	icl1
3.1.3.73	RNHPH_MYCTU Bifunctional protein Rv2228c	Rv2228c
3.4.21.105	A0A045JW70_MYCTX Rhomboid family protein	gluP
1.3.1.12	TYRA_MYCTU Prephenate dehydrogenase	tyrA
2.1.1.72	A0A0T9Q917_MYCTX Site-specific DNA-methyltransferase (adenine-specific)	dpnM
1.10.3.11		
2.8.1.6	BIOB_MYCTU Biotin synthase	bioB
2.7.1.25	CYSNC_MYCTU Bifunctional enzyme CysN/CysC	cysNC
3.4.24.33		
3.4.24.39		
1.4.1.14		
1.4.1.10		
3.2.1.68		
3.4.21.B40		
1.7.1.B1		
3.1.1.73		
2.3.1.165		
2.8.2.9		
2.7.1.24	COAE_MYCTU Dephospho-CoA kinase	coaE
2.4.1.232		
3.6.5.6		
5.1.1.7	DAPF_MYCTU Diaminopimelate epimerase	dapF
2.3.2.B14		
3.4.24.B20		
1.11.1.19		
1.8.3.B2		
4.1.2.9		
3.4.21.B28		
6.3.2.17	FOLC_MYCTU Dihydrofolate synthase/folylpolyglutamate synthase	folC
3.4.21.B57		
3.2.1.81		
3.5.1.104		
1.13.11.75		
2.6.1.52	SERC_MYCTU Phosphoserine aminotransferase	serC
3.1.13.3		
3.1.27.10		
2.7.7.B17		
3.6.4.4		
1.21.4.2		
3.4.23.23		
3.4.24.B17		
2.7.7.13	Q7D5T3_MYCTO Mannose-1-phosphate guanyltransferase	mpg1
2.3.1.117	DAPD_MYCTU 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	dapD
2.7.1.39	KHSE_MYCTU Homoserine kinase	thrB
3.1.99.B1		
2.3.1.61	KGD_MYCTA Multifunctional 2-oxoglutarate metabolism enzyme	kgd
2.5.1.54	AROG_MYCTU Phospho-2-dehydro-3-deoxyheptonate aldolase AroG	aroG
1.2.1.42		
3.6.4.B7		
1.1.1.71		
1.3.1.86		
2.5.1.1	A0A045JAS9_MYCTX Multifunctional geranylgeranyl pyrophosphate synthetase: dimethylallyltransferase + geranyltranstransferase + farnesyltranstransferase	idsA1
6.3.4.1		
3.4.21.B30		
3.2.1.99		
1.1.3.37		
1.13.11.65		
2.3.1.142		
1.1.1.43		
2.7.1.77		
4.1.1.72		
2.7.8.B13		
1.2.1.16	A0A045JTD4_MYCTX Putative succinate-semialdehyde dehydrogenase [NADP+] 2	gabD
1.11.1.14		
1.5.3.5		
2.2.1.2	TAL_MYCTU Transaldolase	tal
2.1.1.129		
2.7.7.41	CDSA_MYCTU Phosphatidate cytidylyltransferase	cdsA
3.1.16.1		
1.8.4.9		
2.2.1.10		
1.6.3.4		
6.1.1.19	SYR_MYCTU Arginine--tRNA ligase	argS
3.3.2.1	A0A0T9K7B0_MYCTX Isochorismatase hydrolase	ERS075342_00981
2.7.1.148	ISPE_MYCTU 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	ispE
1.14.19.5		
4.2.1.55		
2.6.1.9	HIS8_MYCTU Histidinol-phosphate aminotransferase	hisC
1.2.2.4		
3.5.1.18	DAPE_MYCTU Putative succinyl-diaminopimelate desuccinylase DapE	dapE
3.6.5.4		
3.1.3.7	CYSQ_MYCTU 3'-phosphoadenosine 5'-phosphate phosphatase	cysQ
1.14.99.24		
2.7.7.59	GLND_MYCTU Bifunctional uridylyltransferase/uridylyl-removing enzyme	glnD
3.6.4.8		
1.3.1.6		
3.1.1.58		
3.4.13.9	A0A0E8TXI3_MYCTX Dipeptidase pepE	pepQ_1
4.4.1.9		
1.18.1.3	A0A1K3CZ18_MYCTX Nitrite reductase large subunit	todA
4.3.1.17	SDHL_MYCTU L-serine dehydratase	sdaA
2.4.1.212	A0A0T9QFW0_MYCTX PGL/p-HBAD biosynthesis glycosyl transferase	hyaD_3
3.2.2.21	ALKA_MYCTU Probable bifunctional transcriptional activator/DNA repair enzyme AlkA	alkA
2.3.1.88		
2.7.7.51		
2.3.1.32		
4.2.1.157		
2.7.1.86		
3.5.1.B15		
3.4.23.B5		
2.3.2.1		
1.7.1.1		
1.3.1.44		
3.5.1.123		
3.1.22.4	RUVC_MYCTU Crossover junction endodeoxyribonuclease RuvC	ruvC
1.1.3.4		
3.4.22.65		
3.4.21.32		
1.1.3.8		
1.5.3.2		
6.1.1.6	LYSX_MYCTU Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX	lysX
3.4.22.B69		
3.4.21.107	A0A0E8WF73_MYCTX Serine protease	htrA
1.11.1.11		
5.99.1.3	GYRA_MYCTU DNA gyrase subunit A	gyrA
2.1.1.243		
3.2.2.15		
1.16.3.1	BFRB_MYCTU Ferritin BfrB	bfrB
1.10.3.1		
2.7.1.23	NADK_MYCTU NAD kinase	ppnK
2.3.1.41	PPSE_MYCTU Phthiocerol synthesis polyketide synthase type I PpsE	ppsE
5.1.1.1	ALR_MYCTU Alanine racemase	alr
3.4.24.31		
1.8.1.12		
2.7.8.7	ACPS_MYCTU Holo-[acyl-carrier-protein] synthase	acpS
4.2.1.51	PHEA_MYCTU Prephenate dehydratase	pheA
2.4.2.B15		
2.4.1.1	PHSG_MYCTU Glycogen phosphorylase	glgP
3.1.30.1		
3.1.30.2		
3.6.1.10		
2.3.1.260		
3.4.21.50		
2.6.1.1	AAT_MYCTU Probable aspartate aminotransferase	aspC
5.1.1.16		
1.13.12.7		
4.3.2.2	P71832_MYCTO Adenylosuccinate lyase	purB
3.1.26.5	RNPA_MYCTU Ribonuclease P protein component	rnpA
2.7.4.9	KTHY_MYCTU Thymidylate kinase	tmk
1.13.12.5		
3.4.23.18		
1.2.1.2	A0A045K6M9_MYCTX Formate dehydrogenase	fdhF
3.4.24.68		
1.97.1.1		
2.4.1.129	PBP1A_MYCTU Penicillin-binding protein 1A	ponA1
2.7.7.65	A0A0T9K892_MYCTX PAS/PAC sensor-containing diguanylate cyclase	adrA
3.4.23.16		
1.3.1.98	MURB_MYCTU UDP-N-acetylenolpyruvoylglucosamine reductase	murB
3.5.1.1	ASPG_MYCTU Probable L-asparaginase	ansA
3.2.1.80		
6.3.1.5	A0A0U0RRS4_MYCTX NH(3)-dependent NAD(+) synthetase	nadE
2.5.1.43		
3.4.24.B4		
3.6.4.1		
3.6.4.2		
3.4.22.46		
2.8.1.1	THTR_MYCTU Putative thiosulfate sulfurtransferase	cysA1
6.3.5.6		
3.4.23.20		
2.7.7.B22		
3.6.3.6		
2.5.1.19	AROA_MYCTU 3-phosphoshikimate 1-carboxyvinyltransferase	aroA
2.5.1.18	A0A1K3GDG8_MYCTX Glutathione S-transferase GstB	gstB_3
3.4.24.3		
2.5.1.10	EFPP_MYCTU (2E,6E)-farnesyl diphosphate synthase	Rv3398c
2.4.1.207		
3.4.16.6		
3.4.16.4	PBP1A_MYCTU Penicillin-binding protein 1A	ponA1
3.6.3.26		
3.4.17.18		
3.1.3.16	PSTP_MYCTU PP2C-family Ser/Thr phosphatase	pstP
2.7.7.B16		
4.2.2.3		
4.2.2.8		
3.4.24.30		
3.6.4.11		
2.7.13.1		
2.7.1.35	A0A1K3BML3_MYCTX Pyridoxal kinase PdxY	pdxY
2.4.1.14		
2.1.1.182	RSMA_MYCTU Ribosomal RNA small subunit methyltransferase A	ksgA
2.4.2.B14		
2.7.7.18	NADD_MYCTU Probable nicotinate-nucleotide adenylyltransferase	nadD
3.1.4.41		
4.2.99.18	END8A_MYCTU Endonuclease 8 1	nei1
3.1.15.1		
2.7.11.1	PKNH_MYCTU Serine/threonine-protein kinase PknH	pknH
3.1.11.4		
1.1.1.78		
1.6.99.3	V5NFU0_MYCTX Mutant NADH dehydrogenase	ndh
2.5.1.3	THIE_MYCTU Thiamine-phosphate synthase	thiE
3.1.13.2		
3.4.24.83		
2.7.1.2	PPGK_MYCTA Polyphosphate glucokinase	ppgK
1.7.2.4		
2.7.1.72		
3.4.21.89	LEP_MYCTU Signal peptidase I	lepB
3.2.1.36		
3.4.21.85		
3.4.22.50		
3.1.27.3		
3.1.27.2		
2.4.1.214		
3.5.2.6	BLAC_MYCTU Beta-lactamase	blaC
4.1.2.13	ALF_MYCTU Fructose-bisphosphate aldolase	fba
2.7.7.4	CYSNC_MYCTU Bifunctional enzyme CysN/CysC	cysNC
2.7.8.B10		
3.4.23.36	LSPA_MYCTU Lipoprotein signal peptidase	lspA
3.6.3.23		
1.3.3.4	PPOX_MYCTU Protoporphyrinogen oxidase	hemY
2.5.1.20		
1.15.1.1	SODC_MYCTU Superoxide dismutase [Cu-Zn]	sodC
2.3.1.206		
1.8.4.7		
1.6.5.4		
1.6.5.2	LPDA_MYCTU NAD(P)H dehydrogenase (quinone)	lpdA
2.4.2.36		
3.6.5.1		
2.3.2.12		
3.6.3.7		
6.2.1.15		
1.5.1.2	P5CR_MYCTU Pyrroline-5-carboxylate reductase	proC
3.8.1.3	A0A0T9KJK1_MYCTX Epoxide hydrolase	dehH1_1
3.4.22.35		
3.5.1.4	AMI3_MYCTU Putative amidase AmiC	amiC
4.2.1.78		
3.6.3.B1		
3.4.11.1	LPQL_MYCTU Probable lipoprotein aminopeptidase LpqL	lpqL
1.2.1.51		
3.1.3.1	A0A0T9L699_MYCTX Integral membrane cytochrome D ubiquinol oxidase (Subunit II) CydB	cydB_1
3.1.3.2	SAPM_MYCTU Phosphatidylinositol-3-phosphatase	sapM
3.1.3.3	SERB2_MYCTU Phosphoserine phosphatase SerB2	serB2
1.14.13.54		
3.1.1.2	A0A045I2W5_MYCTX Alpha/beta fold family hydrolase	cpo_1
4.4.1.4		
1.8.99.2		
3.5.1.88	DEF_MYCTU Peptide deformylase	def
4.1.2.25	FOLB_MYCTU Dihydroneopterin aldolase	folB
3.1.3.31		
3.1.1.42		
1.18.1.2	FPRA_MYCTU NADPH-ferredoxin reductase FprA	fprA
3.4.21.61		
3.4.21.97		
3.4.21.90		
4.3.1.5		
3.4.22.B28		
1.6.5.11	NUOG_MYCTU NADH-quinone oxidoreductase subunit G	nuoG
1.2.4.2	KGD_MYCTA Multifunctional 2-oxoglutarate metabolism enzyme	kgd
3.2.1.1	TRES_MYCTU Trehalose synthase/amylase TreS	treS
4.2.1.1	MTCA1_MYCTU Beta-carbonic anhydrase 1	mtcA1
6.3.2.9	MURD_MYCTA UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD
4.99.1.1	HEMH_MYCTU Ferrochelatase	hemH
3.4.22.32		
3.6.3.52		
3.6.3.51		
3.2.1.117		
3.2.1.123		
3.4.24.74		
1.14.13.67		
1.1.1.14	A0A045ISW5_MYCTX Alcohol dehydrogenase	adh_2
3.1.26.4	RNHPH_MYCTU Bifunctional protein Rv2228c	Rv2228c
3.6.3.47		
3.6.5.2		
